model,max_depth,depth,base_best,base_best relative,base_time (best),base_time (all),base_tree nodes,base_tree depth,mod_best,mod_best relative,mod_time (best),mod_time (all),mod_tree nodes,mod_tree depth,better_best,better_best relative,better_time (best),better_time (all),better_tree nodes,better_tree depth
qcomp-philosophers-4,8,5,0.9606,1.0,334.55,335.55,9.0,5.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,8,N/A,,,,,,,,,51.43,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,1,1,0.8442,0.6266,285.32,511.4,1.0,1.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,1,N/A,,,,,,,,,23.72,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,2,2,0.9606,1.0,878.59,909.63,3.0,2.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,2,N/A,,,,,,,,,22.37,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,3,1,0.8073,0.508,82.85,1010.85,1.0,1.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,3,N/A,,,,,,,,,22.99,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,4,4,0.9606,1.0,465.43,466.09,5.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,4,N/A,,,,,,,,,22.47,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,5,4,0.9606,1.0,376.05,376.72,5.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,5,N/A,,,,,,,,,145.39,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,6,4,0.9606,1.0,317.05,317.75,5.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,6,N/A,,,,,,,,,125.18,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,7,4,0.9606,1.0,271.39,271.96,5.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,7,N/A,,,,,,,,,110.99,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,8,4,0.9606,1.0,238.83,239.4,5.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,8,N/A,,,,,,,,,100.86,,,,tie,tie,mod,tie,tie,tie
qcomp-resource-gathering-5,1,1,-95.1392,0.0908,1.0,5.22,1.0,1.0,-95.1392,0.0908,0.92,6.73,1.0,1.0,tie,tie,mod,base,tie,tie
qcomp-resource-gathering-5,2,2,-53.9064,0.8812,14.56,86.97,3.0,2.0,,,,,,,base,base,base,base,base,base
qcomp-resource-gathering-5,2,N/A,,,,,,,,,31.84,,,,tie,tie,mod,tie,tie,tie
qcomp-resource-gathering-5,3,3,-47.7105,1.0,87.3,88.6,7.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-resource-gathering-5,3,N/A,,,,,,,,,34.28,,,,tie,tie,mod,tie,tie,tie
qcomp-resource-gathering-5,4,3,-47.7105,1.0,87.69,89.02,7.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-resource-gathering-5,4,N/A,,,,,,,,,31.2,,,,tie,tie,mod,tie,tie,tie
qcomp-resource-gathering-5,5,3,-47.7105,1.0,90.24,91.55,7.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-resource-gathering-5,5,N/A,,,,,,,,,31.48,,,,tie,tie,mod,tie,tie,tie
qcomp-resource-gathering-5,6,3,-47.7105,1.0,88.88,90.12,7.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-resource-gathering-5,6,N/A,,,,,,,,,32.19,,,,tie,tie,mod,tie,tie,tie
qcomp-resource-gathering-5,7,3,-47.7105,1.0,81.15,82.39,7.0,3.0,-47.7105,1.0,92.5,93.29,6.0,3.0,tie,tie,base,base,mod,tie
qcomp-resource-gathering-5,8,3,-47.7105,1.0,80.81,82.01,7.0,3.0,-47.7105,1.0,82.37,83.16,6.0,3.0,tie,tie,base,base,mod,tie
qcomp-wlan-1-2,1,1,0.0453,0.2228,146.37,459.25,1.0,1.0,0.0453,0.2228,187.8,393.4,1.0,1.0,tie,tie,base,mod,tie,tie
qcomp-wlan-1-2,2,2,0.0604,0.4088,317.52,906.53,3.0,2.0,,,,,,,base,base,base,base,base,base
qcomp-wlan-1-2,2,N/A,,,,,,,,,338.11,,,,tie,tie,mod,tie,tie,tie
qcomp-wlan-1-2,3,3,0.0745,0.5835,480.72,1009.1,5.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-wlan-1-2,3,N/A,,,,,,,,,542.39,,,,tie,tie,mod,tie,tie,tie
qcomp-wlan-1-2,4,4,0.0751,0.5898,767.38,1068.03,10.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-wlan-1-2,4,N/A,,,,,,,,,631.51,,,,tie,tie,mod,tie,tie,tie
qcomp-wlan-1-2,5,4,0.0702,0.5299,412.86,1108.31,8.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-wlan-1-2,5,N/A,,,,,,,,,598.96,,,,tie,tie,mod,tie,tie,tie
qcomp-wlan-1-2,6,N/A,,,352.84,,,,,,235.71,,,,tie,tie,mod,tie,tie,tie
qcomp-wlan-1-2,7,N/A,,,301.07,,,,,,411.21,,,,tie,tie,base,tie,tie,tie
qcomp-wlan-1-2,8,N/A,,,267.97,,,,,,369.9,,,,tie,tie,base,tie,tie,tie
