model,max_depth,depth,class,base_best,base_time (best),base_time (all),base_tree nodes,base_tree depth,mod_best,mod_time (best),mod_time (all),mod_tree nodes,mod_tree depth
qcomp-resource-gathering-5,5,3,unknown,-47.7105,90.24,91.55,7.0,3.0,,,,,
qcomp-resource-gathering-5,5,N/A,unknown,,,,,,,31.48,,,
qcomp-resource-gathering-5,6,3,unknown,-47.7105,88.88,90.12,7.0,3.0,,,,,
qcomp-resource-gathering-5,6,N/A,unknown,,,,,,,32.19,,,
qcomp-resource-gathering-5,7,3,improved_tree_same_or_better_quality,-47.7105,81.15,82.39,7.0,3.0,-47.7105,92.5,93.29,6.0,3.0
qcomp-resource-gathering-5,8,3,improved_tree_same_or_better_quality,-47.7105,80.81,82.01,7.0,3.0,-47.7105,82.37,83.16,6.0,3.0
qcomp-wlan-1-2,1,1,tie,0.0453,146.37,459.25,1.0,1.0,0.0453,187.8,393.4,1.0,1.0
qcomp-wlan-1-2,2,2,unknown,0.0604,317.52,906.53,3.0,2.0,,,,,
qcomp-wlan-1-2,2,N/A,unknown,,,,,,,338.11,,,
qcomp-wlan-1-2,3,3,unknown,0.0745,480.72,1009.1,5.0,3.0,,,,,
qcomp-wlan-1-2,3,N/A,unknown,,,,,,,542.39,,,
qcomp-wlan-1-2,4,4,unknown,0.0751,767.38,1068.03,10.0,4.0,,,,,
qcomp-wlan-1-2,4,N/A,unknown,,,,,,,631.51,,,
qcomp-wlan-1-2,5,4,unknown,0.0702,412.86,1108.31,8.0,4.0,,,,,
qcomp-wlan-1-2,5,N/A,unknown,,,,,,,598.96,,,
qcomp-wlan-1-2,6,N/A,unknown,,352.84,,,,,235.71,,,
qcomp-wlan-1-2,7,N/A,unknown,,301.07,,,,,411.21,,,
qcomp-wlan-1-2,8,N/A,unknown,,267.97,,,,,369.9,,,
